Episode|Intro|Proverb
Episode 1: Pilot|A friendly desert community where the sun is hot, the moon is beautiful, and mysterious lights pass overhead while we all pretend to sleep. Welcome to Night Vale.|look to the north . keep looking . there is nothing coming from the south .
Episode 2: Glow Cloud|The desert seems vast, even endless. And yet, scientists tell us that somewhere, even now, there is snow. Welcome to Night Vale.|men are from mars ; women are from venus ; earth is a hallucination ; podcasts are dreams .
Episode 3: Station Management|The Arctic is lit by the midnight sun. The surface of the moon is lit by the face of the Earth. Our little town is lit too, by lights just above that we cannot explain. Welcome to Night Vale.|there is a special place in hell . it is really hip . very exclusive .
Episode 4: PTA Meeting|The sun has grown so very, very old. How long, cold, fading death? How long? Welcome to Night Vale.<br/>|what has four legs in the morning , two legs at noon , and three legs in the evening ? i do not know , but i trapped it in my bedroom . send help .
Episode 5: The Shape in Grove Park|Close your eyes. Let my words wash over you. You are safe now. Welcome to Night Vale.|a million dollars is not cool . you know what is cool ? a basilisk .
Episode 6: The Drawbridge|Rabbits are not what they seem to be. Welcome to Night Vale.|lost ? confused ? lacking direction ? need to find a purpose in your life ?
Episode 7: History Week|It is almost complete. It is almost complete at last. Welcome to Night Vale.|it must be 3:23 pm somewhere . maybe space ?
Episode 8: The Lights in Radon Canyon|Silence is golden. Words are vibrations. Thoughts are magic. Welcome to Night Vale.|we are living in an immaterial world , a ghost world , and i am an immaterial girl - a ghost .
Episode 9: Pyramid|Weird at last! Weird at last! God Almighty, weird at last! Welcome to Night Vale.|""" nice bolo tie "" is the greatest compliment a person can ever receive ."
Episode 10: Feral Dogs|Regret nothing. Until it is too late. Then, regret everything. Welcome to Night Vale.<br/>|eating meat is a difficult moral decision , because it is stolen , that meat . you should apologize .
Episode 11: Wheat and Wheat By-products|Today's air quality is mauve and speckled. Welcome to Night Vale.|today is the last day of your life up to this point .
Episode 12: The Candidate|The policeman in that intersection is not directing traffic. He's coding an urgent message to all of us. Welcome to Night Vale.|does the carpet match the drapes ? no . it does not . you are the worst interior decorator . please leave my home .
Episode 13: A Story about You|"This is a story about you,"" said the man on the radio, and you were pleased, because you always wanted to hear about yourself on the radio. Welcome to Night Vale."|"I would never join a "" pen 15 club "" that would allow a person like me to become a member ."
Episode 14: The Man in the Tan Jacket|Look to the obelisk. We don't know where it came from, but it's attracting a lot of cats. Welcome to Night Vale.<br/><br/>|biologically speaking , we are all people , made up of smaller people .
Episode 15: Street Cleaning Day|Bananas are hardly that slippery. But watch your step anyway. Welcome to Night Vale.|"one incorporeal being said to the other , "" I am not here , too , make friends . """
Episode 16: The Phone Call|Your existence is not impossible. But it's also not very likely. Welcome to Night Vale.|if i said you had a beautiful body , would it even matter because we are so insignificant in this vast , incomprehensible universe ?
Episode 17: Valentine|Trust everyone. Welcome to Night Vale.|werner herzog is the most interesting person .
Episode 18: The Traveler|The optimist says the glass is half full. The pessimist says the glass is half empty. It is only the truth-seeker who wonders, 'Why is the glass there? Why is there water all over the floor? Why is it covering every other surface of the house? Who -- or what -- is doing this to us?' Welcome to Night Vale.|"find more ways to work "" plinth "" into daily conversation ."
Episode 19A: The Sandstorm|Blinking red light in the night sky. The future is changing, but it's hard to tell. Welcome to Night Vale.|step 1 : write down the names of everyone you know . step 2 : rearrange the letters . step 3 : this will reveal a great secret of time .
Episode 19B: The Sandstorm|The future is what you make of it. Just know that your supplies are limited. Welcome to Desert Bluffs.|step 1 : separate your lips . step 2 : use facial muscles to pull back corners of mouth . step 3 : widen your eyes . this is how to be happy . : )
